#Session	ID	Occasion	TrapID
1	GD1	51	GD_10
1	MD31	57	MD_43
1	MD31	75	MD_43
1	MD32	23	MD_45
1	MD33	47	MD_48
1	MD34	12	MD_49
1	MD35	3	MD_50
1	MD35	59	TD_10
1	MD36	24	MD_50
1	MD36	26	MD_50
1	MD37	16	MD_52
1	MD37	24	MD_52
1	MD37	37	MD_52
1	MD37	46	MD_52
1	MD37	57	MD_52
1	MD37	64	MD_52
1	MD37	90	MD_52
1	MD37	105	MD_52
1	MD38	73	MD_52
1	MD38	85	MD_52
1	MD39	73	MD_52
1	MD40	60	MD_54
1	MD41	61	MD_54
1	MD42	74	MD_66
1	PG10	14	PG_31
1	PG10	51	PG_31
1	PNP1	12	PNP_12
1	PNP1	23	PNP_19
1	PWS1	23	PWS_1
1	PWS2	10	PWS_7
1	PWS2	61	PWS_1
1	PWS3	6	PWS_13
1	PWS3	13	PWS_13
1	PWS3	16	PWS_13
1	PWS3	21	PWS_13
1	PWS3	26	PWS_20
1	PWS3	71	PWS_13
1	PWS4	14	PWS_13
1	PWS5	16	PWS_13
1	PWS6	19	PWS_13
1	PWS7	23	PWS_5
1	PWS7	54	PWS_5
1	PWS7	61	PWS_5
1	PWS8	7	PWS_16
1	PWS8	15	PWS_16
1	PWS8	21	PWS_16
1	PWS8	32	PWS_16
1	PWS8	70	PWS_20
1	PWS9	15	PWS_30
1	SFD1	54	SFD_1
1	SFD2	14	SFD_6
1	SFD2	16	SFD_26
1	SFD2	21	SFD_27
1	SFD2	25	SFD_26
1	SFD2	36	SFD_26
1	SFD2	44	SFD_26
1	SFD2	64	SFD_26
1	SFD2	70	SFD_26
1	SFD2	98	SFD_26
1	SFD3	56	SFD_4
1	SWS1	1	SWS_11
1	SWS1	5	SWS_20
1	SWS1	37	SWS_11
1	SWS2	28	SWS_5
1	SWS2	62	SWS_6
1	SWS2	77	SWS_5
1	TD10	58	TD_17
1	TD11	30	TD_19
1	TD11	33	TD_20
1	TD12	26	TD_22
1	TD12	42	TD_22
1	TD13	35	TD_22
1	TD13	45	TD_22
1	TD14	3	TD_23
1	TD15	3	TD_25
1	TD16	1	TD_37
1	TD16	15	TD_25
1	TD16	24	TD_25
1	TD16	33	TD_25
1	TD16	40	TD_25
1	TD16	50	TD_25
1	TD16	81	TD_25
1	TD17	34	TD_26
1	TD18	34	TD_26
1	TD19	49	TD_26
1	TD19	82	TD_26
1	TD19	99	TD_26
1	TD20	53	TD_30
1	TD21	1	SJFD_26
1	TD21	29	SJFD_26
1	TD23	4	TD_45
1	TD23	45	TD_45
1	TD24	23	TD_48
1	TD24	69	TD_48
1	TD25	47	TD_55
1	TD25	69	TD_55
1	TD27	14	TD_59
1	TD28	33	TD_61
1	ThD1	27	ThD_13
1	ThD1	30	ThD_17
1	ThD2	74	ThD_24
1	WFD1	9	WFD_13
1	WFD1	12	WFD_15
1	WFD1	17	WFD_13
1	WFD1	47	WFD_13
1	WFD1	60	WFD_15
1	WFD1	62	WFD_13
1	WFD2	57	WFD_13
1	WFD2	58	WFD_13
1	WFD3	71	WFD_13
1	WFD5	36	WFD_14
1	WFD6	30	WFD_20
1	WFD7	52	WFD_22
1	WFD8	22	WFD_35
1	WFD8	35	WFD_26
1	WFD8	42	WFD_26
1	WFD8	54	WFD_26
1	WFD9	6	WFD_27
1	WFD9	30	WFD_27
1	ZFD1	13	ZD_1
1	ZFD1	13	ZD_3
1	ZFD1	22	ZD_1
1	ZFD1	43	ZD_1
1	ZFD1	51	ZD_3
1	ZFD1	67	ZD_1
1	ZFD2	15	ZD_9
1	ZFD2	16	ZD_9
1	ZFD2	56	ZD_10
1	ZFD3	86	ZD_11
1	ZFD4	5	ZD_16
1	ZFD4	7	ZD_16
1	ZFD5	5	ZD_16
1	ZFD5	7	ZD_16
1	ZFD6	10	ZD_20
1	ZFD7	12	ZD_20
1	ZFD7	16	ZD_20
1	ZFD8	4	ZD_29
1	ZFD9	12	ZD_3
1	BFD10	30	BD_26
1	BFD11	7	BD_41
1	BFD12	22	BD_66
1	BFD12	22	PNP_19
1	BFD12	47	BD_62
1	BWS10	60	BWS_23
1	BWS11	9	BWS_26
1	BWS11	32	BWS_24
1	JDNP1	7	JDNP_24
1	JDNP1	14	JDNP_11
1	JDNP2	25	JDNP_22
1	JDNP3	24	JDNP_37
1	JDNP3	52	JDNP_41
1	JDNP3	76	JDNP_41
1	JDNP4	4	JDNP_38
1	JDNP5	10	JDNP_40
1	JDNP5	11	JDNP_40
1	JDNP6	11	JDNP_40
1	JDNP7	1	JDNP_41
1	JDNP7	51	JDNP_41
1	JDNP8	7	JDNP_41
1	JDNP8	16	JDNP_41
1	JDNP8	54	JDNP_41
1	JDNP8	62	JDNP_41
1	JDNP9	10	JDNP_41
1	JDNP9	51	JDNP_41
1	JDNP9	62	JDNP_41
1	JWS10	16	JWS_63
1	JWS10	31	JWS_63
1	JWS10	50	JWS_62
1	JWS10	84	JWS_63
1	PWS10	16	PWS_19
1	PWS10	21	PWS_19
1	PWS10	32	PWS_19
1	PWS11	11	PWS_23
1	PWS11	15	PWS_20
1	PWS11	30	PWS_23
1	PWS13	1	RMNP_13
1	PWS13	71	PWS_8
1	PWS13	80	RMNP_13
1	PWS14	8	PWS_TS_1
1	PWS14	53	PWS_TS_1
1	PWS14	72	DA_56
1	RMNP1	1	RMNP_10
1	RMNP1	7	RMNP_10
1	RMNP1	9	RMNP_18
1	RMNP1	16	RMNP_10
1	RMNP1	17	RMNP_25
1	RMNP1	19	RMNP_18
1	RMNP1	24	RMNP_15
1	RMNP1	24	RMNP_25
1	RMNP1	31	RMNP_25
1	RMNP1	37	RMNP_18
1	RMNP1	42	RMNP_10
1	RMNP1	48	RMNP_26
1	RMNP1	59	RMNP_18
1	RMNP1	65	RMNP_21
1	RMNP1	77	RMNP_18
1	RMNP1	79	RMNP_26
1	RMNP2	13	RMNP_2
1	RMNP2	27	RMNP_15
1	RMNP2	30	RMNP_15
1	RMNP2	73	RMNP_2
1	RMNP3	4	RMNP_18
1	RMNP3	32	RMNP_18
1	RMNP4	70	RMNP_22
1	RMNP5	5	RMNP_24
1	RMNP6	33	RMNP_30
1	RMNP6	36	RMNP_41
1	RMNP6	56	RMNP_39
1	RMNP7	1	RMNP_35
1	RMNP8	3	RMNP_36
1	RMNP8	4	RMNP_36
1	RMNP8	36	RMNP_41
1	RMNP8	56	RMNP_39
1	RMNP9	2	RMNP_38
1	RMNP9	6	RMNP_38
1	RMNP9	32	RMNP_39
1	RMNP9	73	RMNP_39
1	RMNP9	80	RMNP_38
1	RMNP9	82	RMNP_38
1	SDJF7	36	SJFD_9
1	SDJF7	41	SJFD_9
1	SDJF7	43	SJFD_9
1	SJDF1	75	SJFD_6
1	SJDF1	82	SJFD_6
1	SJDF3	41	SJFD_5
1	SJDF6	21	SJFD_7
1	SJFD1	4	SJFD_5
1	SJFD1	11	SJFD_17
1	SJFD1	19	SJFD_2
1	SJFD1	42	SJFD_11
1	SJFD2	89	SJFD_3
1	SJFD2	90	SJFD_3
1	SJFD3	6	SJFD_5
1	SJFD3	31	SJFD_5
1	SJFD4	13	SJFD_5
1	SJFD4	33	SJFD_5
1	SJFD5	36	SJFD_5
1	SJFD8	55	SJFD_10
1	SJFD9	10	SJFD_12
1	SJFD9	27	SJFD_22
1	SJFD9	28	SJFD_22
1	SJFD9	32	SJFD_17
1	SJFD9	40	SJFD_24
1	SJFD9	41	SJFD_17
1	SJFD9	43	SJFD_12
1	SJFD9	71	SJFD_24
1	SJFD9	76	SJFD_17
1	WCNP2	56	WCNP_9
1	WCNP2	59	WCNP_10
1	WCNP3	27	WCNP_9
1	WCNP4	52	WCNP_47
1	WFD10	2	WFD_30
1	WFD10	6	WFD_29
1	WFD10	22	WFD_29
1	WFD10	58	WFD_29
1	WFD10	80	WFD_30
1	WFD11	61	WFD_35
1	WFD12	13	WFD_39
1	WFD12	19	WFD_42
1	WFD12	20	WFD_39
1	WFD12	26	WFD_39
1	WFD12	49	WFD_55
1	WFD12	54	WFD_55
1	WFD13	41	WFD_40
1	WFD15	2	WFD_48
1	WFD16	1	WFD_65
1	WFD16	44	WFD_48
1	WFD16	74	WFD_65
1	WFD17	10	WFD_49
1	WFD18	1	WFD_58
1	WFD18	35	WFD_58
1	WFD20	5	WFD_65
1	WFD21	22	WFD_65
1	ZFD10	42	ZD_3
1	ZFD11	15	ZD_36
1	ZFD12	6	ZD_45
1	ZFD12	23	ZD_38
1	ZFD12	81	ZD_50
1	ZFD13	13	ZD_39
1	ZFD13	37	ZD_39
1	ZFD13	44	ZD_39
1	ZFD14	58	ZD_4
1	ZFD15	26	ZD_47
1	ZFD15	44	ZD_42
1	ZFD16	17	ZD_44
1	ZFD17	12	ZD_46
1	ZFD17	15	ZD_60
1	ZFD17	26	ZD_57
1	ZFD17	41	ZD_46
1	ZFD17	43	ZD_63
1	ZFD17	81	ZD_60
1	ZFD18	21	ZD_49
1	ZFD18	39	ZD_49
1	ZFD19	13	ZD_62
1	ZFD19	23	ZD_57
1	ZFD19	59	ZD_57
1	ZFD20	8	ZD_59
1	ZFD20	86	ZD_59
1	ZFD21	15	ZD_9
1	ZFD21	16	ZD_9
1	JDNP10	51	JDNP_41
1	JDNP10	62	JDNP_41
1	JDNP10	71	WFD_13
1	JDNP11	51	JDNP_41
1	JDNP12	40	JDNP_49
1	JDNP13	31	JDNP_51
1	JSWNP1	46	JSWNP_1
1	JSWNP2	6	JSWNP_40
1	JSWNP2	14	JSWNP_38
1	JWSNP3	49	JSWNP_9
1	JWSNP3	55	JSWNP_9
1	PWSS12	44	PWS_20
1	PWSS12	64	PWS_20
1	RMNP10	46	RMNP_39
1	RMNP10	47	RMNP_39
1	RMNP11	1	RMNP_52
1	RMNP11	6	RMNP_39
1	RMNP11	13	RMNP_41
1	RMNP11	16	RMNP_52
1	RMNP11	18	RMNP_46
1	RMNP11	27	RMNP_48
1	RMNP11	27	RMNP_52
1	RMNP11	37	RMNP_41
1	RMNP11	40	RMNP_52
1	RMNP11	41	RMNP_41
1	RMNP11	41	RMNP_46
1	RMNP11	47	RMNP_41
1	RMNP11	53	RMNP_46
1	RMNP11	59	RMNP_52
1	RMNP11	70	RMNP_46
1	RMNP11	95	RMNP_48
1	RMNP12	10	RMNP_40
1	RMNP13	32	RMNP_48
1	RMNP13	95	RMNP_48
1	RMNP14	9	RMNP_50
1	RMNP15	27	RMNP_52
1	RMNP15	29	RMNP_52
1	RMNP16	67	RMNP_6
1	RMNP17	1	RMNP_64
1	RMNP17	6	RMNP_64
1	RMNP17	17	RMNP_64
1	RMNP17	50	RMNP_65
1	RMNP17	54	RMNP_67
1	RMNP17	62	RMNP_69
1	RMNP17	78	RMNP_69
1	RMNP18	1	RMNP_7
1	RMNP18	16	RMNP_7
1	RMNP19	5	RMNP_72
1	RMNP20	18	RMNP_73
1	RMNP20	20	RMNP_72
1	RMNP20	23	RMNP_79
1	RMNP20	43	RMNP_77
1	RMNP20	45	RMNP_73
1	RMNP20	58	RMNP_73
1	RMNP20	79	RMNP_73
1	RMNP20	81	RMNP_72
1	RMNP20	82	RMNP_72
1	RMNP20	83	RMNP_73
1	RMNP20	107	RMNP_73
1	RMNP21	6	RMNP_75
1	RMNP21	18	RMNP_74
1	RMNP21	85	RMNP_73
1	RMNP22	7	RMNP_78
1	RMNP22	27	RMNP_78
1	RMNP22	58	RMNP_85
1	RMNP23	27	RMNP_85
1	RMNP24	6	RMNP_88
1	RMNP24	72	RMNP_86
1	RMNP24	74	RMNP_86
1	RMNP25	69	RMNP_88
1	RMNP26	5	RMNP_89
1	RMNP26	6	RMNP_90
1	RMNP26	13	PG_4
1	RMNP26	17	RMNP_92
1	RMNP26	22	PG_4
1	RMNP26	24	RMNP_89
1	RMNP26	28	PG_4
1	RMNP26	31	RMNP_90
1	RMNP26	36	RMNP_89
1	RMNP26	43	PG_4
1	RMNP26	46	RMNP_89
1	RMNP26	52	RMNP_89
1	RMNP26	57	PG_4
1	RMNP27	20	RMNP_60
1	RMNP27	77	RMNP_60
1	RMNP28	78	RMNP_61
1	SJFD10	16	SJFD_12
1	SJFD10	28	SJFD_12
1	SJFD10	32	SJFD_12
1	SJFD10	64	SJFD_12
1	SJFD10	78	SJFD_12
1	SJFD11	54	SJFD_14
1	SJFD12	43	SJFD_16
1	SJFD13	57	SJFD_19
1	SJFD14	43	SJFD_22
1	SJFD15	38	SJFD_23
1	SJFD16	64	SJFD_27
1	SJFD16	65	SJFD_27
1	SJFD16	78	SJFD_27
1	SJFD17	80	SJFD_28
1	SJFD18	80	SJFD_28
1	WFD 12	54	WFD_55
1	WFD16 	44	WFD_48
